Date,BTC_close,BTC_open,BTC_high,BTC_low,BTC_volume,Active_Addr_Cnt,Difficulty,Mean_Block_Size(in_bytes),Sum_Block_Weight,Total_Fees(USD),Mean_Hashrate,Xfer_Cnt,Mean_Tx_size(native_units),ETH,LTC,DOGE,XRP,GOLD,SILVER,COPPER,S&P500,DJI,JP225
2010-07-29,0.1,0.1,0.1,0.1,8.06,534.0,244.0,1125.455556,810328.0,0.062211,0.002185183,279.0,70.59960573,,,,,1171.2,17.617,7216.5,1101.53,10467.16,9496.85
2010-07-30,0.1,0.1,0.1,0.1,3.02,582.0,244.0,613.6813187,446760.0,0.0193972144944477,0.002209463,219.0,88.85287671,,,,,1183.9,18.02,7281.75,1101.6,10465.94,9537.3
2010-07-31,0.1,0.1,0.1,0.1,4.02,479.0,244.0,473.08867,384148.0,0.0209391976738749,0.002464401,147.0,105.0447619,,,,,1183.9,18.02,7281.75,1101.6,10465.94,9537.3
2010-08-01,0.1,0.1,0.1,0.1,2.6,622.0,244.0,431.2970711,412320.0,0.017719,0.002901437,202.0,1337.769604,,,,,1183.9,18.02,7281.75,1101.6,10465.94,9537.3
2010-08-02,0.1,0.1,0.1,0.1,3.6,632.0,244.0,438.0123967,423996.0,0.0126,0.002937857,226.0,281.0703982,,,,,1185.4,18.438,7493.0,1125.86,10674.38,9570.31
2010-08-03,0.1,0.1,0.1,0.1,9.82,988.0,244.0,836.3259912,759384.0,0.0,0.002755758,754.0,56.18017241,,,,,1187.5,18.44,7405.75,1120.46,10636.38,9694.01
2010-08-04,0.1,0.1,0.1,0.1,3.49,715.0,244.0,476.8106996,463460.0,0.0,0.002949997,321.0,98.85074766,,,,,1195.9,18.295,7484.0,1127.24,10680.43,9489.34
2010-08-05,0.1,0.1,0.1,0.1,5.03,825.0,262.0,935.266055,815552.0,0.0,0.002834314,504.0,81.20630952,,,,,1199.3,18.338,7375.75,1125.81,10674.98,9653.92
2010-08-06,0.1,0.1,0.1,0.1,1.4,640.0,352.0,872.537415,513052.0,0.1424607376972531,0.002573386,351.0,57.70156695,,,,,1205.3,18.489,7348.75,1121.64,10653.56,9642.12
2010-08-07,0.1,0.1,0.1,0.1,2.62,500.0,352.0,520.6387097,322796.0,0.0,0.002713434,162.0,143.8759877,,,,,1205.3,18.489,7348.75,1121.64,10653.56,9642.12
2010-08-08,0.1,0.1,0.1,0.1,2.2,581.0,352.0,528.2311558,420472.0,0.0,0.0034837,314.0,32.20012739,,,,,1205.3,18.489,7348.75,1121.64,10653.56,9642.12
2010-08-09,0.1,0.1,0.1,0.1,13.63,782.0,352.0,1565.357895,1189672.0,0.304128,0.003326145,364.0,210.6363736,,,,,1202.6,18.259,7402.5,1127.79,10698.75,9572.49
2010-08-10,0.1,0.1,0.1,0.1,1.31,590.0,352.0,478.947644,365916.0,0.0,0.003343651,215.0,156.824186,,,,,1198.0,18.175,7276.5,1121.06,10644.25,9551.05
2010-08-11,0.1,0.1,0.1,0.1,14.06,724.0,352.0,506.6480687,472196.0,0.0,0.004078905,259.0,214.7117761,,,,,1199.2,17.919,7175.25,1089.47,10378.83,9292.85
2010-08-12,0.1,0.1,0.1,0.1,2.06,611.0,352.0,511.0875576,443624.0,0.0,0.003798808,364.0,54.36412088,,,,,1216.7,18.082,7231.25,1083.61,10319.95,9212.59
