"Date","Price","Open","High","Low","Vol.","Change %"
"06/22/2023","22.467","22.690","22.750","22.200","","-1.50%"
"06/21/2023","22.810","23.210","23.230","22.515","78.46K","-1.82%"
"06/20/2023","23.234","24.245","24.260","23.100","110.46K","-3.44%"
"06/19/2023","24.062","24.198","24.262","23.962","","-0.56%"
"06/18/2023","24.198","24.235","24.258","24.172","","0.30%"
"06/16/2023","24.126","23.965","24.290","23.910","62.35K","0.75%"
"06/15/2023","23.947","24.000","24.010","23.270","90.80K","-0.66%"
"06/14/2023","24.105","23.730","24.175","23.715","61.20K","1.19%"
"06/13/2023","23.822","24.145","24.520","23.665","73.64K","-0.99%"
"06/12/2023","24.059","24.375","24.395","23.955","58.04K","-1.44%"
"06/09/2023","24.410","24.360","24.620","24.280","63.77K","0.25%"
"06/08/2023","24.348","23.525","24.460","23.510","84.07K","3.48%"
"06/07/2023","23.529","23.675","24.165","23.480","73.33K","-0.60%"
"06/06/2023","23.670","23.665","23.870","23.410","44.28K","0.15%"
"06/05/2023","23.635","23.690","23.785","23.320","47.49K","-0.47%"
"06/02/2023","23.747","23.980","24.120","23.660","62.06K","-1.00%"
"06/01/2023","23.987","23.625","24.030","23.355","76.91K","1.70%"
"05/31/2023","23.587","23.310","23.735","23.160","76.73K","1.50%"
"05/30/2023","23.239","23.425","23.510","23.030","79.06K","-0.12%"
"05/29/2023","23.267","23.410","23.503","23.258","","-0.62%"
"05/28/2023","23.413","23.430","23.455","23.395","","0.71%"
"05/26/2023","23.248","22.710","23.340","22.705","0.28K","1.95%"
"05/25/2023","22.803","23.070","23.125","22.705","0.36K","-1.42%"
"05/24/2023","23.132","23.480","23.505","23.050","0.26K","-1.60%"
"05/23/2023","23.509","23.670","23.670","23.140","0.38K","-0.99%"
"05/22/2023","23.743","23.880","23.920","23.660","0.28K","-0.86%"
"05/19/2023","23.948","23.560","24.010","23.555","0.15K","1.81%"
"05/18/2023","23.523","23.840","23.840","23.380","0.35K","-1.12%"
"05/17/2023","23.789","23.830","23.940","23.650","0.18K","0.03%"
"05/16/2023","23.783","24.115","24.115","23.710","0.18K","-1.62%"
"05/15/2023","24.175","24.030","24.270","23.945","0.17K","0.09%"
"05/12/2023","24.154","24.370","24.405","23.910","","-1.11%"
"05/11/2023","24.424","25.545","25.700","24.325","","-4.81%"
"05/10/2023","25.658","25.840","26.200","25.455","","-0.93%"
"05/09/2023","25.898","25.790","25.930","25.570","45.73K","0.25%"
"05/08/2023","25.834","25.945","25.990","25.760","","-0.37%"
"05/05/2023","25.930","26.330","26.435","25.410","","-1.62%"
"05/04/2023","26.358","25.968","26.363","25.703","","2.64%"
"05/03/2023","25.681","25.650","25.910","25.355","","0.24%"
"05/02/2023","25.619","25.245","25.765","24.820","","1.54%"
"05/01/2023","25.230","25.460","26.210","25.140","","0.02%"
"04/28/2023","25.226","25.205","25.350","24.980","","0.07%"
"04/27/2023","25.209","25.170","25.410","24.745","","0.55%"
"04/26/2023","25.071","25.265","25.515","25.010","","-0.07%"
"04/25/2023","25.088","25.480","25.655","24.735","","-1.71%"
"04/24/2023","25.524","25.375","25.535","25.055","","0.97%"
"04/21/2023","25.280","25.565","25.690","25.210","19.88K","-1.23%"
"04/20/2023","25.595","25.580","25.805","25.380","21.43K","0.02%"
"04/19/2023","25.590","25.495","25.675","24.925","18.98K","0.42%"
"04/18/2023","25.484","25.350","25.645","25.255","14.04K","1.58%"
"04/17/2023","25.088","25.440","25.710","24.920","64.63K","-1.46%"
"04/14/2023","25.460","25.970","26.235","25.265","94.54K","-1.79%"
"04/13/2023","25.925","25.630","26.115","25.515","75.42K","1.83%"
"04/12/2023","25.458","25.185","25.825","25.175","89.02K","1.08%"
"04/11/2023","25.186","25.015","25.275","24.970","54.83K","1.10%"
