"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"05/08/2022","32,801.51","32,513.99","32,813.44","32,489.62","267.68M","0.23%"
"04/08/2022","32,727.19","32,805.69","32,828.11","32,654.40","305.34M","-0.26%"
"03/08/2022","32,812.00","32,556.15","32,901.43","32,515.41","329.34M","1.28%"
"02/08/2022","32,396.76","32,673.44","32,772.93","32,388.30","307.90M","-1.23%"
"01/08/2022","32,799.18","32,755.71","32,971.43","32,642.38","311.91M","-0.14%"
"29/07/2022","32,846.45","32,515.62","32,906.21","32,495.87","464.21M","0.98%"
"28/07/2022","32,526.86","32,197.62","32,609.53","31,984.67","317.56M","1.03%"
"27/07/2022","32,196.00","31,891.33","32,334.95","31,803.94","355.80M","1.37%"
"26/07/2022","31,760.85","31,950.04","31,950.04","31,705.93","316.16M","-0.72%"
"25/07/2022","31,990.00","31,986.05","32,027.06","31,823.05","247.48M","0.28%"
"22/07/2022","31,900.61","32,167.92","32,219.25","31,731.47","311.11M","-0.43%"
"21/07/2022","32,036.77","31,826.49","32,040.63","31,535.24","292.81M","0.50%"
"20/07/2022","31,878.20","31,829.99","31,943.95","31,648.33","304.57M","0.17%"
"19/07/2022","31,824.71","31,165.91","31,842.25","31,165.91","366.26M","2.42%"
"18/07/2022","31,071.75","31,559.00","31,643.32","30,982.97","289.24M","-0.68%"
"15/07/2022","31,286.02","30,775.37","31,286.95","30,775.37","308.33M","2.14%"
"14/07/2022","30,630.01","30,451.80","30,679.11","30,145.31","313.90M","-0.46%"
"13/07/2022","30,771.54","30,743.63","30,977.52","30,515.34","279.11M","-0.69%"
"12/07/2022","30,985.02","31,113.31","31,346.10","30,860.83","315.33M","-0.61%"
"11/07/2022","31,175.52","31,183.56","31,367.29","31,114.40","232.43M","-0.52%"
"08/07/2022","31,339.20","31,348.43","31,509.74","31,213.83","229.51M","-0.14%"
"07/07/2022","31,383.89","31,190.65","31,421.71","31,155.92","282.02M","1.12%"
"06/07/2022","31,037.22","30,957.30","31,224.63","30,796.06","276.14M","0.23%"
"05/07/2022","30,967.45","30,701.12","30,971.74","30,355.33","302.40M","-0.42%"
"01/07/2022","31,097.46","30,740.97","31,139.01","30,488.06","294.20M","1.03%"
"30/06/2022","30,779.71","30,700.53","30,979.85","30,432.22","369.79M","-0.80%"
"29/06/2022","31,027.92","31,046.09","31,152.96","30,895.55","260.76M","0.26%"
"28/06/2022","30,947.78","31,549.05","31,885.09","30,934.70","336.42M","-1.56%"
"27/06/2022","31,439.58","31,565.07","31,598.49","31,352.50","285.35M","-0.20%"
"24/06/2022","31,503.71","30,881.77","31,513.93","30,881.77","398.11M","2.69%"
"23/06/2022","30,678.15","30,570.33","30,715.63","30,294.37","347.93M","0.64%"
"22/06/2022","30,481.88","30,352.57","30,777.92","30,174.02","327.81M","-0.16%"
"21/06/2022","30,531.77","30,074.69","30,653.71","30,074.69","345.14M","2.16%"
"17/06/2022","29,885.08","29,840.70","30,165.29","29,654.59","592.65M","-0.15%"
"16/06/2022","29,929.31","30,305.74","30,305.74","29,740.90","424.44M","-2.41%"
"15/06/2022","30,668.27","30,570.50","31,007.72","30,194.22","380.45M","1.00%"
"14/06/2022","30,365.95","30,594.91","30,686.51","30,144.95","349.99M","-0.50%"
"13/06/2022","30,518.06","31,144.91","31,144.91","30,374.78","455.14M","-2.79%"
"10/06/2022","31,392.36","32,053.52","32,053.52","31,387.84","349.39M","-2.73%"
"09/06/2022","32,271.80","32,828.62","32,955.72","32,270.29","276.62M","-1.94%"
"08/06/2022","32,910.38","33,087.07","33,156.50","32,824.37","258.83M","-0.81%"
"07/06/2022","33,179.81","32,783.03","33,205.03","32,644.04","261.78M","0.81%"
"06/06/2022","32,914.20","33,032.04","33,234.91","32,819.71","239.67M","0.05%"
"03/06/2022","32,898.91","33,001.38","33,135.61","32,840.11","281.87M","-1.05%"
"02/06/2022","33,248.02","32,809.01","33,248.02","32,512.06","325.45M","1.33%"
"01/06/2022","32,813.10","33,156.31","33,270.83","32,585.15","324.67M","-0.54%"
"31/05/2022","32,991.97","33,027.03","33,240.15","32,754.75","444.89M","-0.67%"
"27/05/2022","33,213.55","32,735.09","33,213.62","32,688.70","309.63M","1.76%"
"26/05/2022","32,638.44","32,263.33","32,773.26","32,263.33","338.95M","1.61%"
"25/05/2022","32,121.53","31,816.31","32,254.29","31,754.33","333.13M","0.60%"
"24/05/2022","31,931.06","31,717.61","32,014.86","31,367.33","373.85M","0.16%"
"23/05/2022","31,880.64","31,497.56","31,968.42","31,484.02","389.26M","1.98%"
"20/05/2022","31,260.58","31,426.94","31,514.07","30,635.76","479.03M","0.02%"
"19/05/2022","31,253.26","31,262.62","31,567.57","31,018.06","503.76M","-0.76%"
"18/05/2022","31,493.56","32,468.67","32,468.67","31,394.68","443.96M","-3.56%"
"17/05/2022","32,655.05","32,609.54","32,687.62","32,310.20","376.08M","1.34%"
"16/05/2022","32,224.01","32,152.15","32,513.25","31,932.06","315.86M","0.09%"
"13/05/2022","32,195.94","31,976.40","32,275.82","31,862.79","374.10M","1.47%"
"12/05/2022","31,730.04","31,699.04","31,907.70","31,231.27","525.90M","-0.33%"
"11/05/2022","31,834.37","32,123.24","32,584.02","31,799.54","433.75M","-1.01%"
"10/05/2022","32,160.74","32,504.09","32,752.17","31,887.89","440.67M","-0.26%"
"09/05/2022","32,245.70","32,685.17","32,685.17","32,121.98","475.11M","-1.99%"
"06/05/2022","32,899.37","32,773.88","33,055.84","32,474.69","418.14M","-0.30%"
"05/05/2022","32,997.97","33,854.17","33,854.17","32,685.10","448.42M","-3.12%"
"04/05/2022","34,061.06","33,171.80","34,117.74","33,021.84","412.37M","2.81%"
"03/05/2022","33,128.79","33,086.09","33,341.58","32,914.75","364.42M","0.20%"
"02/05/2022","33,061.50","32,978.49","33,224.95","32,449.87","453.39M","0.26%"
"29/04/2022","32,977.21","33,787.01","33,919.59","32,913.15","501.56M","-2.77%"
"28/04/2022","33,916.39","33,425.96","34,054.79","33,248.46","451.60M","1.85%"
"27/04/2022","33,301.93","33,450.92","33,697.18","33,108.89","456.29M","0.19%"
"26/04/2022","33,240.18","33,907.49","33,909.51","33,230.95","403.70M","-2.38%"
"25/04/2022","34,049.46","33,731.65","34,106.01","33,323.37","418.00M","0.70%"
"22/04/2022","33,811.40","34,727.38","34,727.38","33,773.39","373.28M","-2.82%"
"21/04/2022","34,792.76","35,258.80","35,492.22","34,723.82","371.92M","-1.05%"
"20/04/2022","35,160.79","34,962.67","35,315.40","34,962.67","338.74M","0.71%"
"19/04/2022","34,911.20","34,394.62","34,983.11","34,394.62","303.44M","1.45%"
"18/04/2022","34,411.69","34,411.49","34,618.29","34,279.08","268.82M","-0.11%"
"14/04/2022","34,451.23","34,628.46","34,889.17","34,437.50","353.68M","-0.33%"
"13/04/2022","34,564.59","34,166.64","34,598.36","34,140.64","313.63M","1.01%"
"12/04/2022","34,220.36","34,412.51","34,669.97","34,102.81","333.51M","-0.26%"
"11/04/2022","34,308.08","34,630.27","34,701.34","34,272.29","336.63M","-1.19%"
"08/04/2022","34,721.12","34,569.24","34,908.46","34,470.19","306.19M","0.40%"
"07/04/2022","34,583.57","34,439.24","34,705.83","34,190.95","324.81M","0.25%"
"06/04/2022","34,496.51","34,520.34","34,609.84","34,277.17","386.25M","-0.42%"
"05/04/2022","34,641.18","34,876.33","35,112.21","34,566.04","308.98M","-0.80%"
"04/04/2022","34,921.88","34,799.98","34,940.78","34,615.38","317.56M","0.30%"
"01/04/2022","34,818.27","34,740.89","34,847.91","34,538.25","346.81M","0.40%"
"31/03/2022","34,678.35","35,201.52","35,201.52","34,677.99","438.36M","-1.56%"
"30/03/2022","35,228.81","35,273.63","35,361.36","35,058.58","324.67M","-0.19%"
"29/03/2022","35,294.19","35,114.35","35,372.26","35,030.07","355.05M","0.97%"
"28/03/2022","34,955.89","34,833.03","34,957.93","34,552.23","302.86M","0.27%"
"25/03/2022","34,861.24","34,702.39","34,942.70","34,631.52","287.07M","0.44%"
"24/03/2022","34,707.94","34,406.81","34,713.56","34,355.42","324.87M","1.02%"
"23/03/2022","34,358.50","34,748.84","34,748.84","34,352.96","349.59M","-1.29%"
"22/03/2022","34,807.46","34,583.24","34,882.03","34,583.24","368.55M","0.74%"
"21/03/2022","34,552.99","34,669.85","34,808.28","34,341.81","408.49M","-0.58%"
"18/03/2022","34,754.93","34,466.72","34,755.20","34,279.83","627.89M","0.80%"
"17/03/2022","34,480.76","33,995.39","34,483.92","33,896.06","339.47M","1.23%"
"16/03/2022","34,063.10","33,653.93","34,075.94","33,391.24","430.18M","1.55%"
"15/03/2022","33,544.34","32,989.27","33,620.84","32,989.27","394.82M","1.82%"
"14/03/2022","32,945.24","33,000.37","33,395.59","32,818.16","401.15M","0.00%"
"11/03/2022","32,944.19","33,279.72","33,515.61","32,911.89","369.48M","-0.69%"
"10/03/2022","33,174.07","33,106.77","33,236.59","32,819.76","399.48M","-0.34%"
"09/03/2022","33,286.25","32,860.42","33,457.28","32,860.42","421.55M","2.00%"
"08/03/2022","32,632.64","32,885.17","33,402.98","32,578.73","553.75M","-0.56%"
"07/03/2022","32,817.38","33,579.75","33,579.75","32,806.15","493.67M","-2.37%"
"04/03/2022","33,614.80","33,655.43","33,655.43","33,254.12","412.93M","-0.53%"
