,Date,BTC_close,BTC_open,BTC_high,BTC_low,difficulty,addresses_active_count,sum_lock_weight,mean_lock_size_ytes,total_fees_usd,mean_hash_rate,xfer_cnt,mean_tx_size_usd,ETH,LTC,XRP,DOGE,COPPER,GOLD,SILVER,SPX,JP225,DJI
0,2023-06-22,0.43924957948262583,0.4407684686496674,0.43871764549774633,0.44269771646282285,1.0,0.6314586938021546,0.598871997069566,0.5773239200908595,0.05984580846697374,0.8085221501218163,0.655307710764671,0.021996143180281577,0.38938686210324475,0.22224807403960498,0.1777014388489209,0.0954562660144421,0.7878481012658228,0.9295931187783899,0.7637160921884559,0.9135484597294729,0.9939078751857354,0.9327880027266531
1,2023-06-21,0.4408348070685656,0.41566287497858334,0.44267943616296845,0.4226788487672298,1.0,0.550357746399345,0.47741482400939955,0.5587493322251041,0.06242699842142373,0.7138252459650564,0.6052266911328691,0.03425251821879083,0.39303674002470684,0.22005066956207023,0.1798381294964029,0.0955683671092476,0.7926075949367088,0.9398376340968396,0.7753756203684818,0.9101710392447919,0.9922734026745913,0.9334696659850035
2,2023-06-20,0.4156678292662214,0.3938841337594327,0.40802652664548456,0.39833588138225595,1.0,0.581989263574802,0.5912388513791533,0.5901922255728635,0.04860352054900092,0.8026035888179999,0.7435667875531016,0.021560194362916018,0.3726015830695577,0.2076159454009617,0.17723021582733817,0.09187631027253668,0.7865316455696203,0.9411906832898425,0.7897885648242573,0.9149703120569741,0.9852897473997028,0.9367689161554192
3,2023-06-19,0.39388882846615825,0.38634247361089386,0.38814758217033796,0.39271804018637163,1.0,0.5503547214861599,0.6367247507349745,0.6287430485000879,0.03920748771937986,0.838114931072805,0.6292323905177963,0.02603085447118765,0.36125680582649455,0.20037743653378834,0.1774856115107914,0.09088778243652457,0.7826430379746836,0.9490915241132695,0.8179345978652526,0.0,0.0,0.0
4,2023-06-18,0.3863470784285389,0.38895419432215195,0.383038228290714,0.3926497888759465,1.0,0.5133620498425028,0.705023602640227,0.7373688109678106,0.03655321050252687,0.8913819401936638,0.6960014459863837,0.018081649108029205,0.35791264417537716,0.1995760301949227,0.17517625899280576,0.09041899604006522,0.7845670886075949,0.9517009761283464,0.8225576177850296,0.0,0.0,0.0
5,2023-06-17,0.38895883026890765,0.386366311335583,0.384321399356373,0.3910254076878277,1.0,0.49292976958227963,0.6216309138801686,0.6126055585916204,0.04810491830977657,0.82627781698787,0.6918072398677895,0.013942880396951933,0.3593289215910556,0.19872292022129157,0.17244604316546763,0.09054419986023758,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-06-16,0.38637091643735,0.3752013170342891,0.3800271507332301,0.37726139341875375,1.0,0.5887933016322431,0.7050110130971972,0.5762415766052282,0.05622872209733232,0.9032190542785988,0.8780572623292009,0.01638952793145044,0.35727625520445555,0.19678403391758442,0.1711474820143885,0.09051362683438154,0.7876455696202531,0.9525466318739731,0.8201101366510299,0.9193234317927848,1.0,0.9429363326516702
7,2023-06-15,0.3751968498071356,0.3683122145991165,0.3692368485901886,0.3706182658707048,1.0,0.5496660495843768,0.6822649915024381,0.6342221131051594,0.04884886403751284,0.8736262733276101,0.7277433839252401,0.020477116302809628,0.34667809116583964,0.1929062613101701,0.17277338129496406,0.08954839273235499,0.7900759493670886,0.9523050159466512,0.8140254266095587,0.9227112764147639,0.9913818722139672,0.9385139740967963
8,2023-06-14,0.3683166045140249,0.3802236276547404,0.3738868855542642,0.37076083527470405,1.0,0.4572186528246639,0.46996430738294864,0.5563890367322041,0.046082595000570076,0.7087779496467347,0.5246023801696921,0.02203948173473979,0.34335056713487705,0.18915774778966962,0.17270143884892086,0.08795277195434427,0.7837974683544304,0.9514351986082923,0.8193962879869467,0.9116095701919709,0.9942050520059434,0.9267893660531697
9,2023-06-13,0.38023411904403626,0.3798943690824711,0.3793870233493389,0.3840925912444187,0.9786154903041276,0.5637550868956727,0.6670246519333571,0.651066447993699,0.0439392962760452,0.8491588981635536,0.6397358749433181,0.02119565758253801,0.3617850502664099,0.20032573289902278,0.18673021582733815,0.08986431399953412,0.7758987341772152,0.9464579105054605,0.8097763274185872,0.9108632019614057,0.9903417533432392,0.9332788002726653
