iter	RMSE
161	880.6669226
162	878.6980323
163	876.8720149
164	874.9600573
165	874.2301015
166	872.824501
167	871.5584644
168	869.510852
169	866.5193858
170	864.5645646
171	863.1273346
172	861.058786
173	859.2617321
174	857.4199846
175	855.9900857
176	854.0706329
177	852.3102644
178	851.1011856
179	849.7433233
180	847.9045751
181	846.4703467
182	844.8809268
183	842.5964628
184	841.4859116
185	839.5357324
186	838.0172816
187	836.3222709
188	834.9212987
189	833.4336999
190	831.584465
191	829.8591565
192	828.7097968
193	827.1813079
194	825.9265957
195	824.8518811
196	822.8760646
197	821.618871
198	820.5372101
199	819.1934173
200	818.0063791
201	816.7091475
202	815.4668014
203	814.342938
204	812.7206025
205	811.5095976
206	809.5836323
207	808.5978518
208	806.9769899
209	805.5787908
210	803.8209469
211	801.798814
212	800.8113754
213	799.4361057
214	798.1673532
215	796.0798666
216	794.8521554
217	793.5910466
218	792.5792949
219	791.480823
220	789.8385449
221	789.0796531
222	787.2985845
223	786.0747837
224	784.6051583
225	782.763613
226	781.6226556
227	780.6033018
228	778.9969036
229	778.076918
230	777.3174161
231	776.5916318
232	775.2722564
233	773.5818546
234	771.8950384
235	770.5421036
236	768.9635815
237	767.8382176
238	766.1108475
239	765.0544698
240	763.8128844
241	762.8114075
242	761.6887737
243	759.9195277
244	758.9994719
245	757.9487486
246	756.4195334
247	754.6033223
248	753.4698131
249	751.4942002
250	750.2839979
251	749.0590224
252	747.5331733
253	746.4618912
254	744.503619
255	743.5332749
256	741.9540427
257	740.9771589
258	739.5024922
259	738.3003029
260	736.897652
261	736.1185341
262	734.8315788
263	733.9994379
264	733.2120516
265	731.6564177
266	730.4083378
267	729.4176001
268	728.0762335
269	727.3223461
270	726.4188076
271	725.3012444
272	724.0204036
273	722.8060957
274	721.8530478
275	720.1160136
276	719.1863477
277	718.2324467
278	717.3828292
279	716.5731896
280	714.8367532
281	713.5169979
282	712.5374999
283	711.5780958
284	710.3838454
285	709.5013016
286	708.7467427
287	708.1436681
288	706.7496588
289	705.4169348
290	703.5100539
291	702.7067226
292	701.0903704
293	700.3703871
294	699.3995757
295	697.9795533
296	696.9346421
297	696.1660193
298	695.3627173
299	694.4485321
300	693.6015127
301	692.8534606
302	692.036144
303	690.5243062
304	689.4111663
305	687.9386322
306	686.9585356
307	685.4068556
308	684.5706658
309	684.2564818
310	683.594409
311	683.0462547
312	681.7803832
313	680.7455913
314	679.8359793
315	679.1328427
316	678.3456631
317	677.5999005
318	676.7841729
319	675.4164763
320	675.0668233
321	674.300985
322	673.3429916
323	671.7672988
324	670.9617875
325	670.020166
326	669.2274632
327	668.4779115
328	667.5183466
329	666.7966096
330	665.2095833
331	664.5099254
332	663.2956636
333	661.7625591
334	660.3350784
335	659.3429191
336	658.5319127
337	657.8375461
338	656.3250411
339	655.4696986
340	654.8963584
341	654.3589722
342	653.4480822
343	652.8024106
344	651.5293427
345	650.8066268
346	649.3980353
347	648.2745121
348	647.2280895
349	646.8562699
350	646.6054881
351	645.646281
352	644.8376892
353	644.1506432
354	643.415569
355	642.7948037
356	641.7822046
357	641.2473084
358	640.3243099
359	639.7393557
360	638.4745132
361	637.7869393
362	636.9972901
363	636.7108085
364	635.7606666
365	634.4426756
366	633.8713682
367	633.600515
368	632.7025993
369	632.5364716
370	631.2690061
371	630.4728316
372	629.6556058
373	628.8196227
374	628.0118391
375	626.5894334
376	625.361752
377	625.027676
378	624.159322
379	623.5342671
380	622.9443582
381	622.2864482
382	622.1203644
383	621.6356408
384	621.2152152
385	620.1548148
386	619.7544454
387	619.1386177
388	618.3649442
389	617.9039872
390	617.7527203
391	616.8686164
392	615.7572045
393	615.1331903
394	614.3621792
395	613.9842909
396	612.9585909
397	612.4092854
398	611.683726
399	611.4479193
400	610.773833
401	610.0573838
402	609.6009434
403	608.6912863
404	607.5733454
405	606.5175063
406	605.598441
407	605.4776347
408	605.1381685
409	604.378835
410	603.0361737
411	602.3453785
412	601.4737861
413	600.5666919
414	600.1762344
415	599.3529963
416	599.0248734
417	598.2446774
418	597.1804541
419	596.2926153
420	595.9918359
421	595.4020084
422	594.2761996
423	593.8136524
424	592.7573293
425	592.1565642
426	591.5594174
427	591.1172534
428	590.489619
429	589.6123605
430	589.0434296
431	588.8474195
432	587.8415999
433	587.080525
434	586.0596145
435	585.4931695
436	585.003878
437	584.3155297
438	584.15937
439	583.2097236
440	583.086685
441	581.9209813
442	581.2432954
443	580.3331756
444	579.4016115
445	578.3665092
446	577.9197905
447	577.2851665
448	576.7467074
449	576.275625
450	576.0244594
451	575.3174312
452	574.8047219
453	574.0049826
454	573.5315359
455	572.9024231
456	572.4887593
457	572.0105427
458	571.4444214
459	570.8320999
460	569.9215287
461	569.3341559
462	568.8445661
463	568.0453319
464	567.4844848
465	566.682062
466	565.6790899
467	565.5442975
468	565.1217143
469	564.7405746
470	564.2796863
471	563.6972522
472	563.5688473
473	563.2099809
474	562.4218552
475	562.2528982
476	562.1458438
477	561.21696
478	560.6949993
479	560.5351811
480	559.8565845
481	559.2902797
482	558.6686611
483	557.6651412
484	556.6364716
485	555.9053348
486	555.1192034
487	554.5740095
488	554.4715696
489	553.5031016
490	553.2460541
491	552.8673534
492	552.2862592
493	552.0430173
494	551.5602369
495	551.0267975
496	550.3947029
497	549.924234
498	549.0517804
499	548.6700227
500	548.2213831
501	548.1253398
502	547.4042597
503	546.5913401
504	546.1322264
505	545.8037444
506	544.9814504
507	544.4656786
508	543.9863604
509	543.5682095
510	542.9952398
511	542.5382811
512	542.160369
513	541.3514467
514	540.9749374
515	540.3102433
516	539.9046048
517	538.7685126
518	537.9732306
519	537.2649066
520	536.7474896
521	535.9725467
522	535.3854387
523	534.967237
524	534.0995926
525	533.1470915
526	532.7029514
527	532.1141022
528	531.7108679
529	531.3061477
530	531.1618372
531	530.3969714
532	529.6044275
533	529.1777569
534	528.6112557
535	527.9093924
536	527.7969269
537	527.6582992
538	527.5332173
539	526.975717
540	526.3059493
541	525.3286619
542	524.4618463
543	523.6944082
544	523.3101376
545	522.6712229
546	521.8379354
547	521.25562
548	520.6622086
549	520.1983467
550	519.7513271
551	519.309637
552	518.4538815
553	517.9255881
554	517.0831319
555	516.5364863
556	516.3307794
557	515.766229
558	515.2727349
559	514.6895445
560	514.3046908
561	513.4420447
562	512.7896883
563	512.6603346
564	512.5343892
565	511.7024281
566	510.9123311
567	510.7760297
568	510.6430678
569	509.9305639
570	509.6665973
571	509.4472489
572	508.8126437
573	508.0926417
574	507.4759461
575	506.9175778
576	506.4909526
577	506.1030008
578	505.4326634
579	504.8211488
580	504.1970221
581	503.4608775
582	502.9408407
583	502.3704828
584	501.9218089
585	501.0933611
586	500.3273044
587	499.4769116
588	498.7798571
589	497.7577124
590	497.6263924
591	496.9478035
592	496.3025275
593	495.8586632
594	495.2171065
595	494.4443079
596	494.1503648
597	493.7492012
598	493.677637
599	493.5499723
600	493.0140213
601	492.420849
602	491.8382434
603	491.2413503
604	491.1520003
605	490.4482863
606	489.9020047
607	489.8153259
608	489.1263869
609	488.5792834
610	488.4709744
611	488.0822478
612	487.6001134
613	487.2272342
614	486.6298411
615	486.0693172
616	485.9674057
617	485.2680745
618	484.7711446
619	484.6891132
620	484.2104557
621	484.0385934
622	483.9668171
623	483.4156544
624	483.0803766
625	482.6658696
626	482.3665569
627	481.8595175
628	481.2316608
629	480.5226996
630	480.1748568
631	479.7624714
632	479.3701901
633	479.041999
634	478.5248954
635	477.777806
636	477.2146362
637	476.6178736
638	476.2795509
639	475.8364642
640	475.2690867
641	474.5451532
642	474.4409692
643	473.9395116
644	473.4974989
645	472.5711812
646	472.148691
647	471.6993078
648	471.1997966
649	470.4564796
650	469.9306332
651	469.8709136
652	469.6235121
653	469.5289607
654	469.1230714
655	468.6631709
656	468.1948474
657	467.6922902
658	467.1033194
659	466.4539792
660	465.9794196
661	465.4710502
662	464.9945436
663	464.4628837
664	464.0591367
665	463.6947154
666	463.1011689
667	462.5032808
668	462.2873747
669	461.4403963
670	461.1569501
671	461.0812593
672	460.4460515
673	460.0290358
674	459.7620558
675	459.3269178
676	459.1005459
677	458.8095237
678	458.4711777
679	458.0131029
680	457.6490315
681	457.2293336
682	456.8126468
683	456.3524729
684	456.0005208
685	455.9267283
686	455.6692685
687	455.4044759
688	455.1963931
689	455.1196752
690	454.6745921
691	454.5426104
692	454.1987499
693	453.8164054
694	453.7456133
695	453.0566778
696	452.2633667
697	451.8815344
698	451.6672488
699	451.0746289
700	451.0067929
701	450.6286067
702	450.1187349
703	449.7456747
704	449.5453713
705	449.0950143
706	448.5253235
707	448.1735631
708	447.7134325
709	447.3387048
710	446.8070858
711	446.5480963
712	445.8717073
713	445.2696255
714	444.7773854
715	444.447478
716	444.1140669
717	443.6514479
718	443.4616018
719	443.1813956
720	443.0202116
721	442.8451961
722	442.4081048
723	442.2124159
724	441.4692902
725	440.8286808
726	440.383773
727	439.8934951
728	439.5180003
729	439.2273209
730	438.9413954
731	438.6981295
732	438.3781977
733	437.9775685
734	437.2453596
735	436.8000052
736	436.6548629
737	436.0478206
738	435.407406
739	434.9502399
740	434.4800619
741	434.0080427
742	433.575148
743	432.8747429
744	432.5017987
745	432.1534362
746	431.6075748
747	431.1263648
748	430.9945378
749	430.5857617
750	430.0822019
751	429.625902
752	429.1896151
753	428.7638749
754	428.487375
755	427.8042956
756	427.4810333
757	427.0027598
758	426.5500198
759	426.1617716
760	425.745319
761	425.4089701
762	425.1599188
763	424.7368169
764	424.3202679
765	423.9072655
766	423.4871666
767	423.0868862
768	422.6369157
769	422.3539143
770	422.0903229
771	421.649071
772	421.2599196
773	421.0658653
774	420.4253623
775	420.0396451
776	419.7144717
777	419.3527313
778	418.8670655
779	418.4407318
780	417.9683534
781	417.7935524
782	417.4560961
783	416.8929392
784	416.4675646
785	416.1126814
786	415.812453
787	415.4081296
788	414.8479654
789	414.5959723
790	414.4104215
791	414.1639681
792	413.740006
793	413.4853135
794	412.9951569
795	412.5210882
796	412.0946041
797	411.8511379
798	411.5633368
799	411.1645644
800	410.8664914
801	410.3898971
802	409.9275379
803	409.6495833
804	409.4934498
805	409.4133901
806	409.2655433
807	408.6450656
808	408.4924104
809	408.2046337
810	407.9742184
811	407.7212245
812	406.9625582
813	406.7824312
814	406.6184693
815	406.2921029
816	406.1115522
817	405.7199945
818	405.4048051
819	405.3554516
820	404.9611353
821	404.8795017
822	404.1365478
823	403.7581782
824	403.5300632
825	403.244473
826	403.0886048
827	402.7485042
828	402.4058971
829	402.060721
830	401.4976506
831	400.9923492
832	400.5089288
833	399.8871969
834	399.3600932
835	399.0792476
836	398.4621526
837	398.1278162
838	397.9563999
839	397.436421
840	396.8782619
841	396.5084312
842	395.8292255
843	395.5254778
844	395.1484423
845	394.9216595
846	394.6243266
847	394.1035683
848	393.6391937
849	393.0337955
850	392.6211086
851	392.1552958
852	391.5153893
853	391.0914935
854	390.6084566
855	390.2752997
856	390.1476977
857	389.8076381
858	389.3854227
859	388.9612925
860	388.6439038
861	388.3837834
862	388.3106049
863	388.1283348
864	387.492829
865	387.1905678
866	386.7538182
867	385.990167
868	385.942037
869	385.5304978
870	385.1989411
871	384.8923573
872	384.558103
873	384.1714318
874	383.7051206
875	383.2358028
876	382.830724
877	382.7385276
878	382.5223107
879	382.317534
880	382.0479491
881	381.7511317
882	381.1874327
883	380.9489271
884	380.4751414
885	379.8888936
886	379.6801277
887	379.3585014
888	379.086806
889	378.8512809
890	378.4781396
891	378.0181482
892	377.787789
893	377.4280772
894	377.2008931
895	377.0379109
896	376.6535153
897	376.4960787
898	376.3070955
899	376.0253181
900	375.7180734
901	375.3820692
902	375.1497074
903	374.7808752
904	374.0653423
905	373.6607089
906	373.3713929
907	372.8855567
908	372.1758334
909	372.0745517
910	371.7184008
911	371.4744108
912	371.1879704
913	371.0580912
914	370.7601773
915	370.3813922
916	370.004509
917	369.8029514
918	369.6814988
919	369.5160125
920	369.0826693
921	368.4915314
922	368.2921871
923	367.9130949
924	367.6337194
925	367.4742616
926	367.0931971
927	366.6889001
928	366.5514288
929	366.1649645
930	365.8575099
931	365.4238752
932	365.1026044
933	364.8773584
934	364.6628581
935	364.4818113
936	364.4312341
937	364.1373637
938	363.4675221
939	363.2277823
940	362.931285
941	362.6065503
942	362.1461558
943	361.7727518
944	361.283545
945	360.6887497
946	360.4507882
947	360.3065959
948	360.0081598
949	359.6622423
950	359.1041066
951	358.8623514
952	358.5169669
953	358.2916871
954	357.9998171
955	357.8779294
956	357.398902
957	357.2613788
958	357.0801187
959	356.7997427
960	356.4607893
961	356.2368914
962	356.0911037
963	355.8641602
964	355.7474931
965	355.5347247
966	354.9652945
967	354.7610195
968	354.3778402
969	354.1793316
970	353.853216
971	353.5994305
972	353.4320532
973	353.1685812
974	352.89874
975	352.5729928
976	352.2355233
977	352.0448909
978	351.755869
979	351.5673218
980	351.2394979
981	350.9801154
982	350.6572661
983	350.4363391
984	350.2077704
985	350.0351238
986	349.5639829
987	349.0244741
988	348.8049166
989	348.6534661
990	348.2552425
991	347.9885205
992	347.7971755
993	347.3995784
994	347.3347194
995	347.2137332
996	347.0812478
997	346.7853406
998	346.5766179
999	346.3611195
